farm,New_name,Lat,Long,x,y,Income,LV,GWPperRMB_upstream,GWPperRMB_onsite,GWPperRMB_total,GWPperLV_upstream,GWPperLV_onsite,GWPperLV_total,GWPperFM_upstream,GWPperFM_onsite,GWPperFM_total,MJperRMB,MJperLV,MJperFM,EUperRMB_upstream,EUperRMB_onsite,EUperRMB_total,EUperLV_upstream,EUperLV_onsite,EUperLV_total,EUperFM_upstream,EUperFM_onsite,EUperFM_total,WTperRMB_upstream,WTperRMB_onsite,WTperRMB_total,WTperLV_upstream,WTperLV_onsite,WTperLV_total,WTperFM_upstream,WTperFM_onsite,WTperFM_total
farm16,W1,49.474071,118.554445,612611,5481319,6.35,7.8,0.75494266,1.072055896,1.826998556,6.146007551,8.727634538,14.87364209,13792.79149,68075.5494,116014.4083,1.222475321,9.952202932,77627.18287,0.001078864,8.27E-07,0.001079691,0.008783059,6.73E-06,0.00878979,68.5078598,0.052500979,68.56036078,82.16603133,0.017673071,82.1837044,668.9157678,0.143876923,669.0596448,5217542.989,1122.24,5218665.229
farm17,W2,49.472188,118.554456,612616,5481110,36.25,42.27,0.173271862,0.631809414,0.805081276,1.485948665,5.418285129,6.904233794,1394.979319,229030.9124,291841.9625,2.085137495,17.88176821,755862.3421,0.000219308,1.59E-07,0.000219467,0.001880743,1.37E-06,0.00188211,79.49902689,0.057751077,79.55677797,18.25247389,0.16136651,18.4138404,156.5299689,1.383850485,157.9138194,6616521.785,58495.36,6675017.145
farm18,W3,49.475254,118.548954,612210,5481443,38.38,48.6,0.361110713,0.697625468,1.058736181,2.851734396,5.509231575,8.360965971,3823.209771,267748.6545,406342.9462,3.291783217,25.99560491,1263386.399,0.000280105,1.37E-07,0.000280242,0.002212024,1.08E-06,0.002213105,107.5043801,0.052500979,107.5568811,35.27820815,0.05844544,35.33665359,278.5962199,0.461550617,279.0577705,13539776.29,22431.36,13562207.65
farm20,W4,49.638342,118.53023,610485,5499546,5.7,14.85,1.115029558,1.752445311,2.867474869,4.279911435,6.726557758,11.00646919,31973.19235,99889.38271,163446.0675,12.61250906,48.41165095,718913.0166,0.001338103,NA,0.001338103,0.005136154,NA,0.005136154,76.27188316,NA,76.27188316,121.896141,0.038237193,121.9343782,467.8841776,0.146769024,468.0309467,6948080.038,2179.52,6950259.558
farm21,W5,49.509742,118.646905,619222,5485427,24.85,28.61,0.148348627,0.756543828,0.904892455,1.28852268,6.571168867,7.859691547,1342.395536,188001.1413,224865.7752,2.571243226,22.33323808,638953.9415,0.000351439,NA,0.000351439,0.00305252,NA,0.00305252,87.33260211,NA,87.33260211,18.08348503,1.093354366,19.17683939,157.0690678,9.496629151,166.5656969,4493746.029,271698.56,4765444.589
farm22,W6,49.569801,118.743754,626078,5492262,59.45,23.8,0.120336743,0.143725681,0.264062424,3.00589049,3.590122582,6.596013072,317.7641204,85444.91745,156985.1111,1.344161807,33.57580648,799104.1942,0.000132361,NA,0.000132361,0.003306232,NA,0.003306232,78.68832378,NA,78.68832378,12.35214195,0.22012286,12.57226481,308.54405,5.498447059,314.042497,7343348.389,130863.04,7474211.429
farm23,W7,49.543427,118.781885,628905,5489394,19.4,25.1,0.313168312,0.729696734,1.042865045,2.420504083,5.639887104,8.060391187,3265.922856,141561.1663,202315.8188,3.873937704,29.94198863,751543.9147,0.00043235,NA,0.00043235,0.003341672,NA,0.003341672,83.875977,NA,83.875977,34.05064815,0.013070515,34.06371866,263.1803084,0.101023108,263.2813315,6605825.74,2535.68,6608361.42
farm24,W8,49.476235,118.556445,612751,5481563,13.5,24.1,0.512469979,0.733963205,1.246433184,2.870682453,4.111412146,6.982094599,6387.595871,99085.03272,168268.4798,5.819711632,32.60004441,785661.0703,0.000640444,4.67E-07,0.00064091,0.003587547,2.61E-06,0.003590161,86.45988058,0.063001175,86.52288175,52.39642236,0.015082667,52.41150502,293.5069302,0.084487967,293.5914182,7073517.018,2036.16,7075553.178
farm26,E6,49.48123,120.020806,284216,5485221,3,8.6,0.143351855,0.732738262,0.876090117,0.50006461,2.556063703,3.056128314,1255.891434,21982.14785,26282.7035,3.520496129,12.28080045,105614.8839,0.000543559,2.30E-07,0.000543789,0.001896137,8.03E-07,0.00189694,16.30677863,0.006904295,16.31368293,15.92961526,1.687944186,17.61755945,55.56842532,5.888177393,61.45660272,477888.4578,50638.32558,528526.7834
farm27,E7,49.481335,120.021114,284239,5485231,3.55,5.75,0.70182113,1.522304501,2.224125632,4.33298263,9.398575617,13.73155825,15609.38365,54041.8098,78956.45992,11.97580367,73.93757046,425141.0301,0.001659182,6.81E-07,0.001659863,0.010243643,4.21E-06,0.01024785,58.90094465,0.024190604,58.92513526,56.24365695,4.951661972,61.19531892,347.2434473,30.57113043,377.8145777,1996649.822,175784,2172433.822
farm30,E8,49.481653,120.373027,309726,5484318,4.25,3.5,0.495028493,1.011724524,1.506753017,6.011060275,12.28522636,18.29628664,7458.856757,42998.29226,64037.00322,8.101596066,98.37652366,344317.8328,0.001097078,4.14E-07,0.001097492,0.013321658,5.03E-06,0.013326685,46.62580431,0.017593166,46.64339747,55.74577697,0.687284706,56.43306168,676.9130061,8.3456,685.2586061,2369195.521,29209.6,2398405.121
farm31,E9,49.480157,120.377769,310064,5484140,5.1,6,0.6785059,0.980070637,1.658576537,5.767300152,8.330600414,14.09790057,11253.53966,49983.60249,84587.40339,8.263229844,70.23745367,421424.722,0.000919116,3.02E-07,0.000919418,0.00781249,2.57E-06,0.007815056,46.87494034,0.015394021,46.89033436,65.19406862,2.84339451,68.03746313,554.1495833,24.16885333,578.3184366,3324897.5,145013.12,3469910.62
farm35,E10,49.449738,120.259574,301381,5481063,16.16,26.675,0.265643908,0.904816835,1.170460743,1.609299178,5.481477058,7.090776235,3109.257661,146218.4005,189146.4561,3.338297527,20.22376309,539468.8803,0.00034498,1.22E-07,0.000345102,0.002089923,7.42E-07,0.002090665,55.74869889,0.019792312,55.7684912,18.4224998,1.668772277,20.09127207,111.6054721,10.10960075,121.7150728,2977075.967,269673.6,3246749.567
farm39,E11,49.449579,120.256751,301176,5481053,9,7.6,0.084644087,0.780404016,0.865048102,1.002364186,9.2416265,10.24399069,732.2120666,70236.3614,77854.32921,2.399251542,28.41218932,215932.6388,0.000400242,1.71E-07,0.000400413,0.004739707,2.03E-06,0.004741732,36.02177099,0.015394021,36.03716501,11.79678969,1.070869333,12.86765902,139.6988253,12.68134737,152.3801727,1061711.072,96378.24,1158089.312
farm40,E12,49.447204,120.262007,301547,5480775,9,32.5,0.31542127,1.782726426,2.098147696,0.873474287,4.936780872,5.810255159,6618.004115,160445.3783,188833.2927,5.344973373,14.80146472,481047.6035,0.000558306,1.95E-07,0.000558501,0.001546078,5.41E-07,0.001546619,50.24752675,0.017593166,50.26511992,26.1820973,10.73753956,36.91963686,72.50426945,29.73472492,102.2389944,2356388.757,966378.56,3322767.317
